status,crn,type,section, tme,day, location,instructor
-------------------------------------------------------------------------------------
Course  : Description
 1. section open 31526 Laboratory AB3 03:00PM - 04:50PM R       ARR Siebel Center for Comp Sci Caccamo, M
 1. section open 40102 Laboratory AB4 05:00PM - 06:50PM R       ARR Siebel Center for Comp Sci Caccamo, M
 1. section open 40103 Laboratory AB5 05:00PM - 06:50PM W       n.a Caccamo, M
 section restricted 40667 Lecture-Discussion AE3 12:30PM - 01:45PM WF      0216 Siebel Center for Comp Sci Caccamo, M
 section restricted 40668 Lecture-Discussion AE4 12:30PM - 01:45PM WF      0216 Siebel Center for Comp Sci Caccamo, M
-------------------------------------------------------------------------------------
CS 433  : Computer System Organization
 section restricted 36069 Lecture-Discussion T3  11:00AM - 12:15PM TR      0216 Siebel Center for Comp Sci Torrellas, J
 section restricted 43363 Lecture-Discussion T4  11:00AM - 12:15PM TR      0216 Siebel Center for Comp Sci Torrellas, J
-------------------------------------------------------------------------------------
CS 438  : Communication Networks
 section closed 36061 Lecture-Discussion X3  03:00PM - 04:20PM MW      1015 Electrical & Computer Eng Bldg Borisov, N
 section closed 57772 Lecture-Discussion X4  03:00PM - 04:20PM MW      1015 Electrical & Computer Eng Bldg Borisov, N
-------------------------------------------------------------------------------------
CS 439  : Wireless Networks
 1. section open 61199 Lecture B3  11:00AM - 12:15PM WF      1105 Siebel Center for Comp Sci Kravets, R
 section restricted 61201 Lecture B4  11:00AM - 12:15PM WF      1105 Siebel Center for Comp Sci Kravets, R
-------------------------------------------------------------------------------------
CS 440  : Artificial Intelligence
 section restricted 63671 Online ONL ARRANGED n.a n.a Lazebnik, S
 section closed 36047 Lecture-Discussion Q3  03:30PM - 04:45PM TR      1404 Siebel Center for Comp Sci Lazebnik, S
 section closed 36053 Lecture-Discussion Q4  03:30PM - 04:45PM TR      1404 Siebel Center for Comp Sci Lazebnik, S
 section closed 67003 Lecture-Discussion R3  02:00PM - 03:15PM TR      0216 Siebel Center for Comp Sci Hasegawa-Johnson, M
 section closed 67004 Lecture-Discussion R4  02:00PM - 03:15PM TR      0216 Siebel Center for Comp Sci Hasegawa-Johnson, M
-------------------------------------------------------------------------------------
CS 446  : Machine Learning
 section closed 46792 Lecture D3  12:30PM - 01:45PM TR      1320 Digital Computer Laboratory Roth, D
 section closed 46793 Lecture D4  12:30PM - 01:45PM TR      1320 Digital Computer Laboratory Roth, D
 section restricted 60403 Online ONL ARRANGED n.a n.a Roth, D
-------------------------------------------------------------------------------------
CS 450  : Numerical Analysis
